latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,daynight
32.356823,-89.01629,6263,1728,2025-01-01,1631,L8,OLI,L,D
32.356828,-89.015972,6264,1728,2025-01-01,1631,L8,OLI,L,D
31.702151,-88.883934,6636,4155,2025-01-01,1631,L8,OLI,L,D
31.69288,-88.756202,7039,4196,2025-01-01,1631,L8,OLI,H,D
32.135273,-88.719789,7180,2563,2025-01-01,1631,L8,OLI,H,D
32.135002,-88.719784,7180,2564,2025-01-01,1631,L8,OLI,H,D
32.135277,-88.719471,7181,2563,2025-01-01,1631,L8,OLI,H,D
32.135006,-88.719466,7181,2564,2025-01-01,1631,L8,OLI,H,D
32.40804,-88.595441,7586,1561,2025-01-01,1631,L8,OLI,M,D
31.163732,-90.690051,861,6000,2025-01-01,1631,L8,OLI,L,D
31.542634,-90.679321,942,4600,2025-01-01,1631,L8,OLI,H,D
31.542913,-90.679016,943,4599,2025-01-01,1631,L8,OLI,M,D
31.542643,-90.679005,943,4600,2025-01-01,1631,L8,OLI,H,D
32.036059,-90.644659,1113,2779,2025-01-01,1631,L8,OLI,L,D
31.565093,-90.545023,1370,4531,2025-01-01,1631,L8,OLI,M,D
31.564823,-90.545013,1370,4532,2025-01-01,1631,L8,OLI,M,D
31.497566,-90.402644,1813,4795,2025-01-01,1631,L8,OLI,M,D
31.663308,-90.373894,1923,4185,2025-01-01,1631,L8,OLI,M,D
32.239671,-90.382641,1962,2053,2025-01-01,1631,L8,OLI,M,D
32.2394,-90.382631,1962,2054,2025-01-01,1631,L8,OLI,H,D
32.23913,-90.382621,1962,2055,2025-01-01,1631,L8,OLI,H,D
32.239679,-90.382323,1963,2053,2025-01-01,1631,L8,OLI,M,D
32.239409,-90.382313,1963,2054,2025-01-01,1631,L8,OLI,H,D
32.239139,-90.382303,1963,2055,2025-01-01,1631,L8,OLI,H,D
31.999238,-90.372822,1965,2943,2025-01-01,1631,L8,OLI,L,D
32.426465,-90.36537,2038,1364,2025-01-01,1631,L8,OLI,H,D
32.157682,-90.343681,2075,2360,2025-01-01,1631,L8,OLI,H,D
32.157412,-90.343671,2075,2361,2025-01-01,1631,L8,OLI,H,D
32.15742,-90.343354,2076,2361,2025-01-01,1631,L8,OLI,M,D
32.428857,-90.346646,2097,1357,2025-01-01,1631,L8,OLI,L,D
32.12904,-90.332465,2107,2467,2025-01-01,1631,L8,OLI,L,D
32.12877,-90.332455,2107,2468,2025-01-01,1631,L8,OLI,H,D
32.272321,-90.324328,2149,1938,2025-01-01,1631,L8,OLI,L,D
32.272051,-90.324318,2149,1939,2025-01-01,1631,L8,OLI,H,D
32.300823,-90.289387,2262,1836,2025-01-01,1631,L8,OLI,H,D
32.300831,-90.289069,2263,1836,2025-01-01,1631,L8,OLI,H,D
32.300561,-90.289059,2263,1837,2025-01-01,1631,L8,OLI,M,D
31.551055,-90.249193,2305,4612,2025-01-01,1631,L8,OLI,M,D
31.550785,-90.249184,2305,4613,2025-01-01,1631,L8,OLI,L,D
31.551064,-90.248878,2306,4612,2025-01-01,1631,L8,OLI,H,D
31.550793,-90.248869,2306,4613,2025-01-01,1631,L8,OLI,H,D
31.101971,-90.220272,2348,6275,2025-01-01,1631,L8,OLI,M,D
31.101701,-90.220263,2348,6276,2025-01-01,1631,L8,OLI,M,D
31.101979,-90.219958,2349,6275,2025-01-01,1631,L8,OLI,M,D
31.017573,-90.209575,2373,6588,2025-01-01,1631,L8,OLI,L,D
31.017303,-90.209566,2373,6589,2025-01-01,1631,L8,OLI,M,D
